Characterized BldgSF,Material type,Total Pounds/Day,LBS/DAY/SF,NZPBldgType, BldgType Installation Total SF , BldgTypeLb/DaySF 
"50,112",Newspaper,0.15,0.000003,PFF,213529,0.620301154
"57,108",Newspaper,0,0,UEPH,2421850,0
"29,624",Newspaper,0,0,Training Barracks,192635,0
"110,953",Newspaper,0,0,PX,256091,0
"6,679",Newspaper,0,0,Office-Small,1031820,0
"20,326",Newspaper,0,0,DFAC,123698,0
"49,600",Newspaper,0.27,0.000006,GIB,599460,3.304055465
"60,684",Newspaper,0,0,Office-Small,1031820,0
"15,835",Non-recyclable MSW,2.83,0.000178,CDC,725754,129.4959071
"50,112",Non-recyclable MSW,6.12,0.000122,PFF,213529,26.06081858
"57,108",Non-recyclable MSW,25.64,0.000449,UEPH,2421850,1087.258272
"29,624",Non-recyclable MSW,21.47,0.000725,Training Barracks,192635,139.6390693
"110,953",Non-recyclable MSW,11.71,0.000106,PX,256091,27.0334678
"6,679",Non-recyclable MSW,0.84,0.000126,Office-Small,1031820,130.152047
"20,326",Non-recyclable MSW,23.99,0.00118,DFAC,123698,146.0190774
"49,600",Non-recyclable MSW,3.14,0.000063,GIB,599460,37.99663785
"60,684",Non-recyclable MSW,7.31,0.000121,Office-Small,1031820,124.357226
"15,835",Paperboard,1.77,0.000112,CDC,725754,80.93494195
"50,112",Paperboard,0.34,0.000007,PFF,213529,1.447369359
"57,108",Paperboard,6.89,0.000121,UEPH,2421850,292.3066811
"29,624",Paperboard,8.14,0.000275,Training Barracks,192635,52.91585783
"110,953",Paperboard,4.32,0.000039,PX,256091,9.959698665
"6,679",Paperboard,0.72,0.000108,Office-Small,1031820,111.5588975
"20,326",Paperboard,12.1,0.000595,DFAC,123698,73.65774827
"49,600",Paperboard,1.03,0.000021,GIB,599460,12.39020799
"60,684",Paperboard,0.79,0.000013,Office-Small,1031820,13.47203282
"15,835",Soiled Paper,136.68,0.008632,CDC,725754,6264.364507
"50,112",Soiled Paper,8.01,0.00016,PFF,213529,34.11656346
"57,108",Soiled Paper,20.4,0.000357,UEPH,2421850,865.011592
"29,624",Soiled Paper,12.88,0.000435,Training Barracks,192635,83.78344156
"110,953",Soiled Paper,91.85,0.000828,PX,256091,211.9993002
"6,679",Soiled Paper,1.08,0.000162,Office-Small,1031820,167.3383462
"20,326",Soiled Paper,107.37,0.005282,DFAC,123698,653.4167578
"49,600",Soiled Paper,2.73,0.000055,GIB,599460,33.04055465
"60,684",Soiled Paper,2.13,0.000035,Office-Small,1031820,36.2708576
"15,835",Steel / Ferrous,3.53,0.000223,CDC,725754,161.8698839
"50,112",Steel / Ferrous,0,0,PFF,213529,0
"57,108",Steel / Ferrous,6.12,0.000107,UEPH,2421850,259.429362
"29,624",Steel / Ferrous,0,0,Training Barracks,192635,0
"110,953",Steel / Ferrous,8.63,0.000078,PX,256091,19.91939733
"6,679",Steel / Ferrous,0.12,0.000018,Office-Small,1031820,18.59314958
"20,326",Steel / Ferrous,14.7,0.000723,DFAC,123698,89.44155147
"49,600",Steel / Ferrous,0.41,0.000008,GIB,599460,4.956083198
"60,684",Steel / Ferrous,3.83,0.000063,Office-Small,1031820,65.06492889
"15,835",White Paper,5.3,0.000335,CDC,725754,242.8048258
"50,112",White Paper,1.94,0.000039,PFF,213529,8.27068205
"57,108",White Paper,0.79,0.000014,UEPH,2421850,33.70175034
"29,624",White Paper,0.9,0.000031,Training Barracks,192635,5.879539759
"110,953",White Paper,4.93,0.000044,PX,256091,11.38251276
"6,679",White Paper,0.36,0.000054,Office-Small,1031820,55.77944873
"20,326",White Paper,22.19,0.001092,DFAC,123698,135.0392052
"49,600",White Paper,0.68,0.000014,GIB,599460,8.260138663
"60,684",White Paper,1.22,0.00002,Office-Small,1031820,20.72620434
"15,835",Yard Trimmings,9.7,0.000612,CDC,725754,444.3960106
"50,112",Yard Trimmings,0,0,PFF,213529,0
"57,108",Yard Trimmings,0,0,UEPH,2421850,0
"29,624",Yard Trimmings,0,0,Training Barracks,192635,0
"110,953",Yard Trimmings,0,0,PX,256091,0
"6,679",Yard Trimmings,0,0,Office-Small,1031820,0
"20,326",Yard Trimmings,0,0,DFAC,123698,0
"49,600",Yard Trimmings,0,0,GIB,599460,0
"60,684",Yard Trimmings,0,0,Office-Small,1031820,0
